Index,Album,Song Name,Lyrics
10,Taylor Swift,Stay Beautiful,coreys eyes like jungle smiles like radio whispers songs window words nobody knows theres pretty girls every corner watch hes walking home saying know ever know youre beautiful every little piece love dont know youre really gon na someone ask anyone find everything looked hope life leads back door oh dont stay beautiful cory finds another way highlight day im taking pictures mind save em rainy day hard make conversation hes taking breath away say hey way youre beautiful every little piece love dont know youre really gon na someone ask anyone find everything looked hope life leads back door oh dont stay beautiful story never gets told daydream ill never get hold least youll know youre beautiful every little piece love dont know youre really gon na someone ask anyone find everything looked hope life leads back front door oh dont stay beautiful beautiful beautiful beautiful beautiful beautiful might also like lalala ohohoh ohohohoh oh dont stay beautiful stay beautiful nanana nana
11,Taylor Swift,Invisible,cant see way eyes light smile shell never notice stop stare whenever walks cant see wanting way want everything wan na show dont even know shes never gon na love like want see right knew could beautiful miracle unbelievable instead invisible oh yeah oh theres fire inside cant help shine shes never gon na see light matter think make think everything could wan na show dont even know shes never gon na love like want see right knew could beautiful miracle unbelievable instead invisible like shadows faded light oh invisible wan na open eyes make realize might also like wan na show dont even know baby let love let want see right knew could beautiful miracle unbelievable instead invisible oh yeah cant see way eyes light smile
12,Taylor Swift,Tied Together with a Smile,seems one doesnt see beauty face mirror looking back walk around thinking youre pretty thats true cause know hold baby youre losing waters high youre jumping letting go one knows cry dont tell anyone might golden one youre tied together smile youre coming undone oh guess true love wanted cause youre giving away like extra change hoping end pocket pocket leaves like penny rain oh cause price pay price pay hold baby youre losing waters high youre jumping letting go one knows cry dont tell anyone might golden one youre tied together smile youre coming undone oh oh oh hold baby youre losing waters high youre jumping letting go one knows cry dont tell anyone might golden one youre tied together smile youre coming undone oh might also like youre tied together smile youre coming undone oh ohoh goodbye baby smile baby baby oh
14,Taylor Swift,I'm Only Me When I'm With You,friday night beneath stars field behind yard painting pictures sky sometimes dont say thing listen crickets sing everything need right side know everything dont wan na live without im youre dont wan na fly youre still ground like matter well drive crazy half time half im tryin let know feel true im im smalltown boy girl livin crazy world tryna figure isnt true dont try hide tears secrets deepest fears nobody gets like know everything say cant live without im youre dont wan na fly youre still ground like matter well drive crazy half time half im tryin let know feel true im im might also like im anybody else hard tell im youre dont wan na fly youre still ground like matter well drive crazy half time half im tryin let know feel true im wan na well im im uhhuhhuh yeah
15,Fearless,Fifteen,take deep breath walk doors mornin first day say hi friends aint seen try stay everybodys way freshman year youre gon na next four years town hopin one senior boys wink say know havent seen around cause youre fifteen somebody tells love youre gon na believe youre fifteen feelin like theres nothin figure well count ten take life know youre gon na fifteen sit class next redhead named abigail soon enough youre best friends laughin girls think theyre cool well outta soon youre first date hes got car youre feelin like flyin mamas waitin youre thinkin hes one youre dancin round room night ends night ends cause youre fifteen somebody tells love youre gon na believe youre fifteen first kiss makes head spin round life youll things greater dating boy football team didnt know fifteen wanted wanted wish could go back tell know back swore gon na marry someday realized bigger dreams mine abigail gave everything boy changed mind cried might also like cause youre fifteen somebody tells love youre gon na believe youre fifteen dont forget look fall ive found time heal anything might find youre supposed didnt know supposed fifteen lalala lalala lalalala lalala lalala lalalala lalala lalala first day take deep breath girl take deep breath walk doors
16,Fearless,Change,sad picture final blow hits somebody else gets wanted know another time place repeating history youre getting sick believe whatever ill anything see things change feel walls put hold us back fall revolution time come us finally win well sing hallelujah well sing hallelujah oh oh weve outnumbered raided cornered hard fight fight aint fair getting stronger find things never found might bigger faster never scared walk away say dont need theres something eyes says beat cause things change feel walls put hold us back fall revolution time come us finally win well sing hallelujah well sing hallelujah oh oh tonight stand get knees fight weve worked years battle long fight lives well stand champions tonight night things changed see walls put hold us back fell revolution throw hands cause never gave well sing hallelujah sang hallelujah hallelujahyou might also like
17,Fearless,The Best Day,im five years old getting cold ive got big coat hear laugh look smiling run run past pumpkin patch tractor rides look sky gold hug legs fall asleep way home dont know trees change fall know youre scared anything dont know snow whites house near far away know best day today im thirteen dont know friends could mean come home crying hold tight grab keys drive drive found town far enough away talk window shop til ive forgotten names dont know im going talk school know im laughing car ride home dont know long going take feel okay know best day today excellent father strength making stronger god smiles little brother inside hes better grew pretty house space run best days video found back three set paint set kitchen youre talking age princesses pirate ships seven dwarfs daddys smart youre prettiest lady whole wide world might also like know trees change fall know side even wrong love giving eyes staying back watching shine didnt know knew im taking chance say best day today
18,Fearless,You're Not Sorry,time wasting hoping would come around ive giving chances every time let taken long baby ive figured youre thinking well fine time around dont call anymore wont pick phone last straw dont wan na hurt anymore tell youre sorry dont believe baby like youre sorry youre looking innocent might believe didnt know couldve loved life hadnt left waiting cold youve got share secrets im tired last know oh youre asking listen cause worked time dont call anymore wont pick phone last straw dont wan na hurt anymore tell youre sorry dont believe baby like youre sorry youre sorry crawling honey never wouldve gone away used shine bright watched fade dont call anymore wont pick phone last straw theres nothing left beg tell youre sorry dont believe baby like youre sorry youre sorry woah oh ohoh ohohoh oh oh oh noyou might also like
19,Fearless,The Way I Loved You,sensible incredible single friends jealous says everything need hear like couldnt ask anything better opens door get car says look beautiful tonight feel perfectly fine miss screaming fighting kissing rain 2am im cursing name youre love act insane thats way loved breaking coming undone roller coaster kind rush never knew could feel much thats way loved respects space never makes wait calls exactly says hes close mother talks business father hes charming endearing im comfortable miss screaming fighting kissing rain 2am im cursing name youre love acted insane thats way loved breaking coming undone roller coaster kind rush never knew could feel much thats way loved cant see smile im faking hearts breaking cause im feeling anything wild crazy frustrating intoxicating complicated got away mistake might also like miss screaming fighting kissing rain 2am im cursing name im love acted insane thats way loved breaking coming undone roller coaster kind rush never knew could feel much thats way loved oh oh thats way loved oh oh never knew could feel much thats way loved
20,Fearless,Hey Stephen,mmmmm mmmm mmmmm mmmm mmmmm mmmm yeah hey stephen know looks deceiving know saw light walked talking didnt say half things wanted girls tossing rocks window ill one waiting even cold hey stephen boy might believing dont always alone cause cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mmm cant help hey stephen ive holding back feeling got things say ha ive seen thought never seen nobody shine way way walk way talk way say name beautiful wonderful dont ever change hey stephen people always leaving think stay cause cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mmm cant help theyre dimming street lights youre perfect arent tonight im waiting alone come come pull near shine shine shine might also like hey stephen could give fifty reasons one choose girls well theyre beautiful would write song haha cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mmm cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mmm cant help cant help cant help
