Index,Album,Song Name,Lyrics
10,Taylor Swift,Stay Beautiful,coreys eyes are like a jungle he smiles its like the radio he whispers songs into my window in words that nobody knows theres pretty girls on every corner they watch him as hes walking home saying does he know will you ever know  youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my door oh but if it dont stay beautiful cory finds another way to be the highlight of my day im taking pictures in my mind so i can save em for a rainy day its hard to make a conversation when hes taking my breath away i should say hey by the way  youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my door oh but if it dont stay beautiful  if you and i are a story that never gets told if what you are is a daydream ill never get to hold at least youll know  youre beautiful every little piece love dont you know youre really gonna be someone ask anyone and when you find everything you looked for i hope your life leads you back to my front door oh but if it dont will you stay beautiful beautiful beautiful beautiful beautiful beautiful you might also like lalala ohohoh ohohohoh oh but if it dont stay beautiful stay beautiful nanana nana
11,Taylor Swift,Invisible,she cant see the way your eyes light up when you smile shell never notice how you stop and stare whenever she walks by  and you cant see me wanting you the way you want her but you are everything to me  and i just wanna show you she dont even know you shes never gonna love you like i want to and you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible oh yeah oh  theres a fire inside of you that cant help but shine through shes never gonna see the light no matter what you do  and all i think about is how to make you think of me and everything that we could be  and i just wanna show you she dont even know you shes never gonna love you like i want to and you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible  like shadows in a faded light oh were invisible i just wanna open your eyes and make you realize you might also like i just wanna show you she dont even know you baby let me love you let me want you you just see right through me but if you only knew me we could be a beautiful miracle unbelievable instead of just invisible  oh yeah  she cant see the way your eyes light up when you smile
12,Taylor Swift,Tied Together with a Smile,seems the only one who doesnt see your beauty is the face in the mirror looking back at you you walk around here thinking youre not pretty but thats not true cause i know you  hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh i guess its true that love was all you wanted cause youre giving it away like its extra change hoping it will end up in his pocket pocket but he leaves you out like a penny in the rain oh cause its not his price to pay its not his price to pay  hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh oh oh  hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh you might also like youre tied together with a smile but youre coming undone oh ohoh goodbye baby with a smile baby baby oh
14,Taylor Swift,I'm Only Me When I'm With You,friday night beneath the stars in a field behind your yard you and i are painting pictures in the sky and sometimes we dont say a thing just listen to the crickets sing everything i need is right here by my side  and i know everything about you i dont wanna live without you im only up when youre not down dont wanna fly if youre still on the ground its like no matter what i do well you drive me crazy half the time the other half im only tryin to let you know that what i feel is true and im only me when im with you  just a smalltown boy and girl livin in a crazy world tryna figure out what is and isnt true and i dont try to hide my tears my secrets or my deepest fears through it all nobody gets me like you do  and you know everything about me you say that you cant live without me  im only up when youre not down dont wanna fly if youre still on the ground its like no matter what i do well you drive me crazy half the time the other half im only tryin to let you know that what i feel is true and im only me when im with you you might also like when im with anybody else its so hard to be myself and only you can tell  that im only up when youre not down dont wanna fly if youre still on the ground its like no matter what i do well you drive me crazy half the time the other half im only tryin to let you know that what i feel is true and im only me who i wanna be well im only me when im with you  with you uhhuhhuh yeah
15,Fearless,Fifteen,you take a deep breath and you walk through the doors its the mornin of your very first day you say hi to your friends you aint seen in a while try and stay out of everybodys way its your freshman year and youre gonna be here for the next four years in this town hopin one of those senior boys will wink at you and say you know i havent seen you around before  cause when youre fifteen and somebody tells you they love you youre gonna believe them and when youre fifteen feelin like theres nothin to figure out well count to ten take it in this is life before you know who youre gonna be fifteen you sit in class next to a redhead named abigail and soon enough youre best friends laughin at the other girls who think theyre so cool well be outta here as soon as we can and then youre on your very first date and hes got a car and youre feelin like flyin and your mamas waitin up and youre thinkin hes the one and youre dancin round your room when the night ends when the night ends  cause when youre fifteen and somebody tells you they love you youre gonna believe them and when youre fifteen and your first kiss makes your head spin round but in your life youll do things greater than dating the boy on the football team but i didnt know it at fifteen  when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was gonna marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried you might also like cause when youre fifteen and somebody tells you they love you youre gonna believe them and when youre fifteen dont forget to look before you fall ive found time can heal most anything and you just might find who youre supposed to be i didnt know who i was supposed to be at fifteen  lalala lalala lalalala lalala lalala lalalala lalala lalala  your very first day take a deep breath girl take a deep breath as you walk through the doors
16,Fearless,Change,and its a sad picture the final blow hits you somebody else gets what you wanted again and you know its all the same another time and place repeating history and youre getting sick of it but i believe in whatever you do and ill do anything to see it through  because these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and well sing hallelujah well sing hallelujah oh oh so weve been outnumbered raided and now cornered its hard to fight when the fight aint fair were getting stronger now find things they never found they might be bigger but were faster and never scared you can walk away say we dont need this but theres something in your eyes says we can beat this  cause these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and well sing hallelujah well sing hallelujah oh oh  tonight we stand get off our knees fight for what weve worked for all these years and the battle was long its the fight of our lives but well stand up champions tonight  it was the night things changed can you see it now these walls that they put up to hold us back fell down its a revolution throw your hands up cause we never gave in and well sing hallelujah we sang hallelujah hallelujahyou might also like
17,Fearless,The Best Day,im five years old its getting cold ive got my big coat on i hear your laugh and look up smiling at you i run and run past the pumpkin patch and the tractor rides look now the sky is gold i hug your legs and fall asleep on the way home  i dont know why all the trees change in the fall but i know youre not scared of anything at all dont know if snow whites house is near or far away but i know i had the best day with you today im thirteen now and dont know how my friends could be so mean i come home crying and you hold me tight and grab the keys and we drive and drive until we found a town far enough away and we talk and window shop til ive forgotten all their names  i dont know who im going to talk to now at school but i know im laughing on the car ride home with you dont know how long its going to take to feel okay but i know i had the best day with you today  i have an excellent father his strength is making me stronger god smiles on my little brother inside and out hes better than i am i grew up in a pretty house and i had space to run and i had the best days with you  there is a video i found from back when i was three you set up a paint set in the kitchen and youre talking to me its the age of princesses and pirate ships and the seven dwarfs and daddys smart and youre the prettiest lady in the whole wide world you might also like and now i know why all the trees change in the fall i know you were on my side even when i was wrong and i love you for giving me your eyes for staying back and watching me shine and i didnt know if you knew so im taking this chance to say that i had the best day with you today
18,Fearless,You're Not Sorry,all this time i was wasting hoping you would come around ive been giving out chances every time and all you do is let me down and its taken me this long baby but ive figured you out and youre thinking well be fine again but not this time around  you dont have to call anymore i wont pick up the phone this is the last straw dont wanna hurt anymore and you can tell me that youre sorry but i dont believe you baby like i did before youre not sorry no no no no youre looking so innocent i might believe you if i didnt know couldve loved you all my life if you hadnt left me waiting in the cold and youve got your share of secrets and im tired of being last to know oh and now youre asking me to listen cause its worked each time before  but you dont have to call anymore i wont pick up the phone this is the last straw dont wanna hurt anymore and you can tell me that youre sorry but i dont believe you baby like i did before youre not sorry no no no no youre not sorry no no no no  you had me crawling for you honey and it never wouldve gone away no you used to shine so bright but i watched all of it fade  so you dont have to call anymore i wont pick up the phone this is the last straw theres nothing left to beg for and you can tell me that youre sorry but i dont believe you baby like i did before youre not sorry no no no no youre not sorry no no no no no no no no no no no no no no no no woah oh ohoh ohohoh oh oh oh no no no no no noyou might also like
19,Fearless,The Way I Loved You,he is sensible and so incredible and all my single friends are jealous he says everything i need to hear and its like i couldnt ask for anything better he opens up my door and i get into his car and he says you look beautiful tonight and i feel perfectly fine  but i miss screaming and fighting and kissing in the rain and its 2am and im cursing your name youre so in love that you act insane and thats the way i loved you breaking down and coming undone its a roller coaster kind of rush and i never knew i could feel that much and thats the way i loved you he respects my space and never makes me wait and he calls exactly when he says he will hes close to my mother talks business with my father hes charming and endearing and im comfortable  but i miss screaming and fighting and kissing in the rain its 2am and im cursing your name youre so in love that you acted insane and thats the way i loved you breaking down and coming undone its a roller coaster kind of rush and i never knew i could feel that much and thats the way i loved you  he cant see the smile im faking and my hearts not breaking cause im not feeling anything at all and you were wild and crazy just so frustrating intoxicating complicated got away by some mistake and now you might also like i miss screaming and fighting and kissing in the rain its 2am and im cursing your name im so in love that i acted insane and thats the way i loved you breaking down and coming undone its a roller coaster kind of rush and i never knew i could feel that much and thats the way i loved you oh oh  and thats the way i loved you oh oh never knew i could feel that much and thats the way i loved you
20,Fearless,Hey Stephen,mmmmm mmmm mmmmm mmmm mmmmm mmmm yeah  hey stephen i know looks can be deceiving but i know i saw a light in you and as we walked we were talking i didnt say half the things i wanted to of all the girls tossing rocks at your window ill be the one waiting there even when its cold hey stephen boy you might have me believing i dont always have to be alone cause i cant help it if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself  hey stephen ive been holding back this feeling so i got some things to say to you ha ive seen it all so i thought but i never seen nobody shine the way you do the way you walk way you talk way you say my name its beautiful wonderful dont you ever change hey stephen why are people always leaving i think you and i should stay the same  cause i cant help it if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself  theyre dimming the street lights youre perfect for me why arent you here tonight im waiting alone now so come on and come out and pull me near and shine shine shine you might also like hey stephen i could give you fifty reasons why i should be the one you choose all those other girls well theyre beautiful but would they write a song for you haha  i cant help it if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself  myself cant help myself i cant help myself
