Album,sentiment,dominant_gender
1989,51.30842686632939,Neutral
Fearless,53.476840527316845,Neutral
Lover,52.48724014968955,Neutral
Midnights,55.041334370603586,Female
Red,53.814312226213424,Neutral
Reputation,52.29557011855879,Male
Speak Now,53.74527039960292,Neutral
Taylor Swift,55.49673864185981,Neutral
evermore,56.86538294486665,Neutral
folklore,50.42542700041087,Neutral
