album_name,Sentiment_Percentage
1989 (Deluxe),51.06637850083427
Fearless (Taylor’s Version),51.99331756206756
Lover,51.41148297237698
Red (Deluxe Edition),52.53939749249334
Speak Now (Deluxe),51.422245031570434
Taylor Swift,53.511306769311695
evermore (deluxe version),52.85760959465729
folklore (deluxe version),50.69009682799503
reputation,51.375282703407706
